id,year,field
OGLE-2011-BLG-0002,2011,blg
OGLE-2011-BLG-0001,2011,blg
OGLE-2011-BLG-0007,2011,blg
OGLE-2011-BLG-0012,2011,blg
OGLE-2011-BLG-0011,2011,blg
OGLE-2011-BLG-0004,2011,blg
OGLE-2011-BLG-0008,2011,blg
OGLE-2011-BLG-0006,2011,blg
OGLE-2011-BLG-0009,2011,blg
OGLE-2011-BLG-0003,2011,blg
OGLE-2011-BLG-0010,2011,blg
OGLE-2011-BLG-0005,2011,blg
OGLE-2011-BLG-0014,2011,blg
OGLE-2011-BLG-0013,2011,blg
OGLE-2011-BLG-0015,2011,blg
OGLE-2011-BLG-0018,2011,blg
OGLE-2011-BLG-0017,2011,blg
OGLE-2011-BLG-0020,2011,blg
OGLE-2011-BLG-0021,2011,blg
OGLE-2011-BLG-0016,2011,blg
OGLE-2011-BLG-0019,2011,blg
OGLE-2011-BLG-0022,2011,blg
OGLE-2011-BLG-0025,2011,blg
OGLE-2011-BLG-0031,2011,blg
OGLE-2011-BLG-0030,2011,blg
OGLE-2011-BLG-0023,2011,blg
OGLE-2011-BLG-0024,2011,blg
OGLE-2011-BLG-0027,2011,blg
OGLE-2011-BLG-0032,2011,blg
OGLE-2011-BLG-0026,2011,blg
OGLE-2011-BLG-0037,2011,blg
OGLE-2011-BLG-0036,2011,blg
OGLE-2011-BLG-0033,2011,blg
OGLE-2011-BLG-0038,2011,blg
OGLE-2011-BLG-0039,2011,blg
OGLE-2011-BLG-0042,2011,blg
OGLE-2011-BLG-0034,2011,blg
OGLE-2011-BLG-0035,2011,blg
OGLE-2011-BLG-0043,2011,blg
OGLE-2011-BLG-0044,2011,blg
OGLE-2011-BLG-0046,2011,blg
OGLE-2011-BLG-0045,2011,blg
OGLE-2011-BLG-0048,2011,blg
OGLE-2011-BLG-0049,2011,blg
OGLE-2011-BLG-0050,2011,blg
OGLE-2011-BLG-0052,2011,blg
OGLE-2011-BLG-0051,2011,blg
OGLE-2011-BLG-0053,2011,blg
OGLE-2011-BLG-0062,2011,blg
OGLE-2011-BLG-0061,2011,blg
OGLE-2011-BLG-0055,2011,blg
OGLE-2011-BLG-0058,2011,blg
OGLE-2011-BLG-0057,2011,blg
OGLE-2011-BLG-0056,2011,blg
OGLE-2011-BLG-0060,2011,blg
OGLE-2011-BLG-0063,2011,blg
OGLE-2011-BLG-0064,2011,blg
OGLE-2011-BLG-0065,2011,blg
OGLE-2011-BLG-0067,2011,blg
OGLE-2011-BLG-0070,2011,blg
OGLE-2011-BLG-0069,2011,blg
OGLE-2011-BLG-0066,2011,blg
OGLE-2011-BLG-0072,2011,blg
OGLE-2011-BLG-0068,2011,blg
OGLE-2011-BLG-0071,2011,blg
OGLE-2011-BLG-0073,2011,blg
OGLE-2011-BLG-0074,2011,blg
OGLE-2011-BLG-0075,2011,blg
OGLE-2011-BLG-0076,2011,blg
OGLE-2011-BLG-0080,2011,blg
OGLE-2011-BLG-0077,2011,blg
